Index,Operation,Property Type,Place with Parent Names,Latitude,Longitude,Price,Currency,Price Approx (Local Currency),Price Approx (USD),Surface Total (m2),Surface Covered (m2),Price USD per m2,Price per m2,Floor,Rooms,Expenses,Property URL
35,Rent,House,Gikambura,-1.340197234,36.87031307,8228298,USD,8228298,73956.87692,264,37,280.1396853,31167.79545,2,3,5486,https://example.com/property/35
36,Sale,Apartment,Gikambura,-1.309473268,36.9314862,24310105,USD,24310105,182623.6069,209,45,873.797162,116316.2919,4,3,3430,https://example.com/property/36
37,Rent,Villa,Ruiru,-1.365047338,36.76594454,15271114,USD,15271114,117034.2941,187,145,625.8518402,81663.71123,2,1,4510,https://example.com/property/37
38,Sale,Apartment,Kileleshwa,-1.434467045,36.8947161,13808101,KES,13808101,94735.0576,60,58,1578.917627,230135.0167,2,4,1845,https://example.com/property/38
39,Sale,Studio,Gikambura,-1.463925832,36.64839334,10775679,USD,10775679,99943.12914,151,44,661.8750274,71362.11258,1,2,1567,https://example.com/property/39
40,Sale,Townhouse,Parklands,-1.479497719,36.77068481,6132293,USD,6132293,44569.35164,119,94,374.5323667,51531.87395,5,4,3179,https://example.com/property/40
41,Sale,Apartment,Juja,-1.421005265,36.67261498,12929645,USD,12929645,100687.6377,172,160,585.3932426,75172.35465,5,4,3019,https://example.com/property/41
42,Sale,Studio,Embakasi,-1.486162931,36.70710046,23809587,KES,23809587,209345.7973,282,131,742.3609832,84431.15957,5,5,4319,https://example.com/property/42
43,Rent,Studio,Runda,-1.329848766,36.86620693,16243109,KES,16243109,131287.4217,239,83,549.319756,67962.79916,1,3,3320,https://example.com/property/43
44,Rent,Villa,Embakasi,-1.414851466,36.94083124,22379568,USD,22379568,191788.4345,224,43,856.1983683,99908.78571,3,5,2646,https://example.com/property/44
45,Rent,Studio,Lavington,-1.252639558,36.5607477,21309033,USD,21309033,165230.2739,83,65,1990.726191,256735.3373,3,2,4909,https://example.com/property/45
46,Rent,Studio,South B,-1.477727738,36.81731963,5015074,USD,5015074,34718.40041,277,239,125.3371856,18104.96029,4,1,9015,https://example.com/property/46
47,Rent,Studio,Kilimani,-1.432094552,36.7910719,24497274,USD,24497274,190691.8342,150,140,1271.278894,163315.16,3,2,4420,https://example.com/property/47
48,Sale,Studio,Upper Hill,-1.280926156,36.55920752,15351539,USD,15351539,116665.3359,194,134,601.367711,79131.64433,3,5,1356,https://example.com/property/48
49,Rent,House,Kilimani,-1.320357511,36.60594717,18716213,USD,18716213,148615.2178,281,111,528.8797788,66605.74021,5,5,8485,https://example.com/property/49
50,Rent,House,Kasarani,-1.480652619,36.65550125,15928942,KES,15928942,155316.0089,153,96,1015.137313,104110.732,2,5,4081,https://example.com/property/50
51,Sale,Villa,Nairobi Central,-1.236828163,36.58346554,21579718,USD,21579718,193292.2973,231,39,836.7631918,93418.69264,3,5,3280,https://example.com/property/51
52,Rent,Apartment,Donholm,-1.236821471,36.62186474,4462538,USD,4462538,35814.88686,253,78,141.5608176,17638.49012,3,4,5131,https://example.com/property/52
53,Sale,Studio,Juja,-1.400877599,36.6338004,9379878,USD,9379878,81202.79407,262,260,309.9343285,35801.06107,1,1,6123,https://example.com/property/53
54,Rent,Apartment,Mombasa Road,-1.397878247,36.66783692,21804035,USD,21804035,199875.3213,89,76,2245.790126,244989.1573,4,4,8422,https://example.com/property/54
55,Sale,Apartment,Lavington,-1.203291492,36.87469523,13463128,USD,13463128,107527.2667,68,30,1581.283334,197987.1765,1,5,3787,https://example.com/property/55
56,Rent,Villa,Kileleshwa,-1.312147149,36.7859561,24987211,USD,24987211,215146.4237,116,86,1854.710549,215406.9914,5,3,5209,https://example.com/property/56
57,Rent,Studio,Juja,-1.340605044,36.99312334,23711269,KES,23711269,210010.0858,131,56,1603.130426,181002.0534,2,4,7540,https://example.com/property/57
58,Sale,Studio,Embakasi,-1.248554345,36.70736791,10632749,KES,10632749,86305.29162,230,142,375.2403983,46229.34348,4,5,1465,https://example.com/property/58
59,Sale,Townhouse,Mombasa Road,-1.414412898,36.87693254,8864075,KES,8864075,83102.61482,292,162,284.597996,30356.42123,1,5,2487,https://example.com/property/59
60,Sale,Apartment,South B,-1.371245222,36.93573421,20509938,KES,20509938,140107.3718,113,100,1239.888246,181503.8761,3,1,5942,https://example.com/property/60
61,Sale,Apartment,Kileleshwa,-1.419666997,36.83948925,24857908,KES,24857908,173364.6463,132,112,1313.368533,188317.4848,3,2,5597,https://example.com/property/61
62,Sale,House,Westlands,-1.263251746,36.70593237,17058071,KES,17058071,126000.4529,96,86,1312.504717,177688.2396,4,4,5536,https://example.com/property/62
63,Sale,Townhouse,Kileleshwa,-1.327995196,36.87679732,12589455,USD,12589455,119545.8394,55,53,2173.560717,228899.1818,3,4,1325,https://example.com/property/63
64,Sale,House,Westlands,-1.302352479,36.60183357,12422712,USD,12422712,89504.76452,65,58,1376.996377,191118.6462,1,4,5162,https://example.com/property/64
65,Sale,House,Kasarani,-1.424307825,36.66377608,6875416,USD,6875416,48970.94362,249,44,196.6704563,27612.11245,1,5,1303,https://example.com/property/65
66,Rent,House,Westlands,-1.43393241,36.77334263,24815676,USD,24815676,179319.2661,289,140,620.4818896,85867.391,3,1,6067,https://example.com/property/66
67,Rent,Villa,Kileleshwa,-1.353487611,36.78770469,16860792,USD,16860792,159518.1086,195,130,818.0415827,86465.6,3,5,6024,https://example.com/property/67
68,Sale,Villa,Runda,-1.278730275,36.51107074,19268917,USD,19268917,145760.876,229,148,636.5103757,84143.74236,5,5,8715,https://example.com/property/68
69,Rent,House,Donholm,-1.342428073,36.97255709,16398275,KES,16398275,115712.0385,225,105,514.2757268,72881.22222,2,3,9340,https://example.com/property/69
70,Rent,Townhouse,Upper Hill,-1.490206297,36.84831364,7101599,USD,7101599,55107.68525,220,187,250.4894784,32279.99545,4,1,3631,https://example.com/property/70
71,Rent,Apartment,Juja,-1.239434548,36.74785188,21167814,KES,21167814,159973.9647,88,49,1817.885962,240543.3409,1,4,7391,https://example.com/property/71
72,Rent,Townhouse,Kilimani,-1.480593932,36.96656362,7546925,KES,7546925,61397.95895,226,194,271.6723847,33393.47345,4,2,9287,https://example.com/property/72
73,Sale,Studio,Gikambura,-1.213252655,36.71954778,13958457,USD,13958457,110399.9414,162,160,681.4811199,86163.31481,5,4,3369,https://example.com/property/73
74,Rent,Villa,Embakasi,-1.492457413,36.99021779,15184923,USD,15184923,149283.2848,189,102,789.8586499,80343.50794,1,5,1528,https://example.com/property/74
75,Sale,Apartment,Parklands,-1.291664863,36.75614238,24657013,USD,24657013,186868.9542,286,151,653.3879516,86213.33217,5,1,5675,https://example.com/property/75
76,Rent,Apartment,Kasarani,-1.475337881,36.55714288,18448040,USD,18448040,177261.6657,187,70,947.9233459,98652.62032,5,1,2663,https://example.com/property/76
77,Rent,Studio,Nairobi Central,-1.226797026,36.88240049,6775702,USD,6775702,55652.24961,120,68,463.7687467,56464.18333,3,1,4364,https://example.com/property/77
78,Rent,Studio,Kilimani,-1.360670029,36.83944886,7090284,USD,7090284,61852.16439,159,159,389.0073232,44592.98113,4,3,3341,https://example.com/property/78
79,Sale,House,Parklands,-1.458742868,36.88649336,17000918,USD,17000918,133580.0371,104,52,1284.423434,163470.3654,4,4,7656,https://example.com/property/79
80,Rent,Villa,Kileleshwa,-1.39775529,36.97572101,9898410,KES,9898410,92793.98339,178,52,521.3145134,55609.04494,3,3,5905,https://example.com/property/80
81,Sale,Villa,Utawala,-1.450552597,36.88824465,5455918,USD,5455918,40539.67919,98,45,413.6701958,55672.63265,4,2,9884,https://example.com/property/81
82,Rent,Townhouse,Upper Hill,-1.448825427,36.8056683,11053048,USD,11053048,79091.25135,213,38,371.3204289,51892.24413,3,5,6950,https://example.com/property/82
83,Sale,House,Juja,-1.215567504,36.92865445,15194329,KES,15194329,140470.0834,70,42,2006.715477,217061.8429,1,3,2360,https://example.com/property/83
84,Rent,House,Ruiru,-1.366426166,36.83662322,17042008,USD,17042008,161972.1714,86,57,1883.397342,198162.8837,5,3,6127,https://example.com/property/84
85,Sale,House,Ruiru,-1.263359321,36.70405953,17464466,USD,17464466,162799.7201,165,80,986.6649701,105845.2485,5,5,6562,https://example.com/property/85
86,Sale,House,Westlands,-1.308118332,36.94280988,11547085,KES,11547085,80268.14767,73,46,1099.563667,158179.2466,4,1,9730,https://example.com/property/86
87,Rent,Villa,Lavington,-1.297072091,36.61095023,10955229,USD,10955229,86664.62725,104,67,833.3137236,105338.7404,2,5,6777,https://example.com/property/87
88,Sale,Villa,Lavington,-1.460491968,36.85732064,23507586,USD,23507586,190556.1352,74,65,2575.082908,317670.0811,5,4,4925,https://example.com/property/88
89,Rent,House,Runda,-1.429744666,36.94078173,23465389,USD,23465389,222767.9058,184,175,1210.69514,127529.288,3,5,9463,https://example.com/property/89
90,Rent,Townhouse,Gikambura,-1.263974899,36.86565826,16598109,USD,16598109,125289.7388,176,80,711.8735159,94307.4375,2,1,9001,https://example.com/property/90
91,Rent,Apartment,South B,-1.208770138,36.84863771,18239667,USD,18239667,127194.3486,283,166,449.4499952,64451.12014,2,5,2028,https://example.com/property/91
92,Rent,Apartment,Kasarani,-1.421197307,36.87631915,12735260,USD,12735260,90059.56884,258,170,349.0680963,49361.47287,5,3,7018,https://example.com/property/92
93,Rent,Townhouse,Ruiru,-1.418529371,36.73252762,4980407,KES,4980407,37930.71776,142,69,267.1177307,35073.28873,5,2,2242,https://example.com/property/93
94,Rent,House,Donholm,-1.35813086,36.93708534,9143192,USD,9143192,88115.31605,143,84,616.1910213,63938.40559,5,3,9784,https://example.com/property/94
95,Rent,Villa,Westlands,-1.204847906,36.60171824,6277746,USD,6277746,59437.17889,120,108,495.3098241,52314.55,3,2,8119,https://example.com/property/95
96,Rent,Apartment,Donholm,-1.419312316,36.56369321,3801125,KES,3801125,37096.65086,274,200,135.3892367,13872.71898,2,5,5210,https://example.com/property/96
97,Rent,Studio,Runda,-1.377908427,36.64275439,22163753,KES,22163753,196358.4235,248,73,791.7678366,89369.97177,4,4,7406,https://example.com/property/97
98,Rent,Studio,Mombasa Road,-1.232555995,36.7657887,22775994,USD,22775994,213292.1753,171,139,1247.322662,133192.9474,3,5,4377,https://example.com/property/98
99,Rent,Townhouse,Westlands,-1.49912369,36.7552809,17775854,KES,17775854,157305.0987,73,33,2154.864366,243504.8493,1,1,5071,https://example.com/property/99
100,Sale,House,Kilimani,-1.488070211,36.91029938,22470911,USD,22470911,188430.7256,60,30,3140.512093,374515.1833,5,5,2440,https://example.com/property/100
101,Sale,Apartment,Lavington,-1.318778497,36.70228433,21545909,USD,21545909,146422.2565,122,53,1200.18243,176605.8115,2,2,4626,https://example.com/property/101
102,Rent,House,Lavington,-1.227785951,36.74217221,12698623,KES,12698623,97293.43749,61,33,1594.974385,208174.1475,3,3,1184,https://example.com/property/102
103,Rent,Apartment,Nairobi Central,-1.428343002,36.50668384,8254230,USD,8254230,58231.43792,84,80,693.2314038,98264.64286,1,4,5996,https://example.com/property/103
104,Rent,Townhouse,Parklands,-1.359107468,36.70486962,6856600,USD,6856600,50595.65151,240,157,210.8152146,28569.16667,3,5,9412,https://example.com/property/104
105,Rent,Townhouse,Juja,-1.36486041,36.82388712,15901865,KES,15901865,150549.9781,245,134,614.4897065,64905.57143,3,5,9031,https://example.com/property/105
106,Rent,Studio,Kileleshwa,-1.358108596,36.50775417,19879110,KES,19879110,145319.3591,277,39,524.6186249,71765.74007,4,3,6563,https://example.com/property/106
107,Rent,House,Gikambura,-1.313244091,36.64044098,4408277,KES,4408277,38752.39917,269,129,144.0609634,16387.64684,4,4,4188,https://example.com/property/107
108,Rent,Studio,Kasarani,-1.359076871,36.60397818,13921808,KES,13921808,105503.8961,234,177,450.8713507,59494.90598,3,5,3945,https://example.com/property/108
109,Rent,House,Ngara,-1.365759558,36.52099271,9188753,USD,9188753,78504.07741,190,138,413.1793548,48361.85789,1,5,7765,https://example.com/property/109
110,Sale,Studio,Upper Hill,-1.357713474,36.73963004,12993200,KES,12993200,86688.59608,72,40,1204.008279,180461.1111,2,2,3474,https://example.com/property/110
111,Rent,Villa,Kilimani,-1.322739768,36.59086165,15862632,KES,15862632,140157.0244,132,41,1061.79564,120171.4545,2,2,7787,https://example.com/property/111
112,Sale,Villa,Ruiru,-1.338897753,36.87154077,6567945,KES,6567945,57635.53324,283,219,203.659128,23208.28622,5,1,9792,https://example.com/property/112
113,Rent,Villa,Utawala,-1.243759201,36.92396394,6666569,KES,6666569,45495.15209,278,175,163.6516262,23980.46403,5,3,5599,https://example.com/property/113
114,Rent,Villa,Upper Hill,-1.485150944,36.77279259,23006328,KES,23006328,227262.9006,216,123,1052.143058,106510.7778,2,4,7274,https://example.com/property/114
115,Sale,Apartment,Upper Hill,-1.250004879,36.99085367,4048966,USD,4048966,30029.16553,137,137,219.1909893,29554.49635,3,5,5313,https://example.com/property/115
116,Rent,Villa,Juja,-1.246822616,36.72523929,10820783,KES,10820783,79409.07949,129,92,615.5742596,83882.03876,3,5,3218,https://example.com/property/116
117,Sale,Townhouse,South B,-1.414527594,36.75668411,18511932,USD,18511932,130532.1662,146,113,894.0559332,126794.0548,4,1,2152,https://example.com/property/117
118,Rent,Townhouse,Nairobi Central,-1.361144413,36.99460888,10875889,KES,10875889,73129.00257,189,54,386.9259395,57544.38624,4,5,1056,https://example.com/property/118
119,Rent,Apartment,Lavington,-1.368438453,36.61577422,15989157,KES,15989157,107468.3875,83,41,1294.799849,192640.4458,5,3,1143,https://example.com/property/119
120,Sale,Villa,Parklands,-1.43444705,36.97127297,7216794,KES,7216794,69886.94347,248,178,281.8021914,29099.97581,2,1,8218,https://example.com/property/120
121,Rent,Villa,Ngara,-1.380960946,36.52141878,12220915,KES,12220915,86616.66099,124,54,698.5214596,98555.76613,3,3,9559,https://example.com/property/121
122,Sale,Villa,Juja,-1.486683668,36.72319345,5089632,KES,5089632,38465.87987,208,40,184.9321147,24469.38462,2,1,7361,https://example.com/property/122
123,Rent,Studio,Nairobi Central,-1.416653378,36.53500176,10834112,KES,10834112,81848.97493,270,93,303.1443516,40126.34074,1,5,1615,https://example.com/property/123
124,Sale,House,Ngara,-1.254995347,36.86461737,7799412,KES,7799412,73290.6925,177,155,414.071709,44064.47458,2,1,9062,https://example.com/property/124
125,Sale,Studio,Lavington,-1.414631309,36.80420447,19090299,KES,19090299,144067.553,239,79,602.7931087,79875.72803,1,2,6977,https://example.com/property/125
126,Rent,House,Kasarani,-1.254537999,36.85331713,14944579,USD,14944579,100215.7001,190,118,527.4510534,78655.67895,4,4,7984,https://example.com/property/126
127,Rent,Villa,Lavington,-1.340520161,36.6872402,15394997,KES,15394997,105741.4577,80,64,1321.768221,192437.4625,4,5,9890,https://example.com/property/127
128,Sale,Villa,Juja,-1.236041197,36.68474097,19655065,USD,19655065,161164.5109,179,145,900.3603962,109804.8324,5,4,5971,https://example.com/property/128
129,Rent,Studio,Lavington,-1.327566134,36.52265964,20089795,KES,20089795,196963.7977,152,125,1295.814459,132169.7039,2,5,6781,https://example.com/property/129
130,Rent,Studio,Mombasa Road,-1.491099533,36.67497247,15462150,USD,15462150,130907.9508,64,43,2045.436731,241596.0938,2,4,1944,https://example.com/property/130
131,Rent,House,Mombasa Road,-1.297373938,36.9646442,9355421,KES,9355421,66200.48874,106,30,624.5329126,88258.68868,1,2,8078,https://example.com/property/131
132,Sale,Townhouse,Juja,-1.48654393,36.68961327,21341041,KES,21341041,157994.0633,124,110,1274.145672,172105.1694,4,4,2746,https://example.com/property/132
133,Sale,House,Kasarani,-1.364820894,36.91568385,23296136,KES,23296136,189450.0262,83,54,2282.530436,280676.3373,1,1,6783,https://example.com/property/133
134,Sale,Studio,Kasarani,-1.221171992,36.92116275,23805820,USD,23805820,231675.3658,152,88,1524.180038,156617.2368,4,4,7907,https://example.com/property/134
135,Sale,Studio,Runda,-1.450438818,36.68662058,10433980,USD,10433980,85986.25956,245,101,350.9643247,42587.67347,1,5,9625,https://example.com/property/135
136,Sale,Apartment,Juja,-1.383038294,36.81599434,21301847,USD,21301847,172552.7082,124,98,1391.554099,171789.0887,4,3,3926,https://example.com/property/136
137,Sale,Studio,Embakasi,-1.281041907,36.5476858,8224369,USD,8224369,56166.7273,78,34,720.0862474,105440.6282,1,4,2089,https://example.com/property/137
138,Sale,Apartment,Ruiru,-1.235322433,36.55183929,7961914,KES,7961914,60292.7257,243,134,248.1182128,32765.07819,4,4,3957,https://example.com/property/138
139,Sale,Townhouse,Westlands,-1.298717099,36.52432883,17390554,KES,17390554,150459.9058,65,64,2314.767781,267546.9846,1,4,3612,https://example.com/property/139
140,Sale,House,South B,-1.422548024,36.79050755,10595853,KES,10595853,83916.97117,216,176,388.5044962,49054.875,2,5,7047,https://example.com/property/140
141,Rent,House,Lavington,-1.297617644,36.71303549,3906395,USD,3906395,37815.00897,126,52,300.1191188,31003.13492,5,4,7249,https://example.com/property/141
142,Sale,Apartment,Nairobi Central,-1.410981708,36.77401618,19188828,KES,19188828,129106.0556,86,38,1501.233205,223125.907,1,5,4759,https://example.com/property/142
143,Rent,House,Kilimani,-1.284471231,36.7605366,15216847,USD,15216847,128953.0574,130,123,991.9465954,117052.6692,5,5,8718,https://example.com/property/143
144,Rent,Studio,Runda,-1.213790062,36.6751015,18740258,USD,18740258,151261.1881,198,173,763.9453943,94647.76768,2,3,5263,https://example.com/property/144
145,Rent,Villa,Lavington,-1.283581965,36.83873671,15919342,USD,15919342,135179.8099,221,62,611.6733482,72033.22172,2,1,2902,https://example.com/property/145
146,Sale,Apartment,Lavington,-1.241135849,36.87925094,14812602,USD,14812602,110438.3018,173,159,638.3716866,85621.97688,4,5,3567,https://example.com/property/146
147,Sale,House,Nairobi Central,-1.499368847,36.50731413,16245626,USD,16245626,122045.1488,68,43,1794.781601,238906.2647,5,2,9075,https://example.com/property/147
148,Sale,Apartment,Mombasa Road,-1.284728363,36.60362115,21721822,KES,21721822,159994.428,248,30,645.1388227,87587.99194,3,4,3994,https://example.com/property/148
149,Sale,Apartment,Ruiru,-1.251123733,36.85661793,11288515,USD,11288515,99539.70148,151,119,659.2033211,74758.37748,4,2,6229,https://example.com/property/149
150,Rent,Villa,Juja,-1.487832379,36.69331009,24582244,USD,24582244,212312.2908,185,118,1147.634004,132876.9946,5,4,3010,https://example.com/property/150
151,Sale,Studio,Upper Hill,-1.238520682,36.83124197,13696208,KES,13696208,128890.2488,126,45,1022.938483,108700.0635,1,3,8377,https://example.com/property/151
152,Sale,Apartment,Embakasi,-1.422991732,36.67348133,3970278,USD,3970278,29902.1886,278,236,107.5618295,14281.57554,1,5,1830,https://example.com/property/152
153,Sale,House,Ngara,-1.300412369,36.69537758,11884527,USD,11884527,116526.5588,243,119,479.533164,48907.51852,2,1,1048,https://example.com/property/153
154,Sale,Townhouse,Westlands,-1.259893536,36.57933944,8005231,KES,8005231,61633.64081,90,76,684.8182312,88947.01111,3,5,5210,https://example.com/property/154
155,Sale,Apartment,Embakasi,-1.301200646,36.62911551,5948134,KES,5948134,41454.80384,252,201,164.5031899,23603.70635,1,4,2178,https://example.com/property/155
156,Rent,Apartment,Donholm,-1.472314562,36.80270588,13698216,KES,13698216,94770.05442,265,237,357.6228469,51691.38113,5,1,6768,https://example.com/property/156
157,Sale,Villa,Kasarani,-1.321103544,36.71658156,4347203,USD,4347203,35501.3146,247,43,143.7300186,17600.01215,5,5,8878,https://example.com/property/157
158,Rent,Studio,Ngara,-1.335124903,36.88715134,11855197,KES,11855197,96411.00493,110,53,876.4636811,107774.5182,1,1,1070,https://example.com/property/158
159,Sale,Townhouse,Embakasi,-1.22990362,36.92629248,13781973,KES,13781973,132712.3494,75,44,1769.497993,183759.64,5,4,8686,https://example.com/property/159
160,Rent,House,Juja,-1.378728081,36.77082321,4187018,KES,4187018,31354.44684,120,112,261.287057,34891.81667,5,3,8879,https://example.com/property/160
161,Sale,Townhouse,Runda,-1.403675671,36.87913365,13081345,USD,13081345,92734.08114,298,101,311.1881917,43897.13087,2,3,6455,https://example.com/property/161
162,Sale,House,Gikambura,-1.275044771,36.65345226,24874795,KES,24874795,221635.7916,152,63,1458.130208,163649.9671,3,5,9258,https://example.com/property/162
163,Rent,Studio,Utawala,-1.376197402,36.70748561,10411979,USD,10411979,86003.18183,260,159,330.7814686,40046.07308,2,2,6612,https://example.com/property/163
164,Rent,House,Embakasi,-1.306171147,36.85638884,5267357,USD,5267357,37109.22934,119,56,311.8422633,44263.5042,3,4,6769,https://example.com/property/164
165,Rent,Villa,Upper Hill,-1.306064973,36.693106,4799971,KES,4799971,33366.49302,156,103,213.8877758,30769.04487,5,5,2777,https://example.com/property/165
166,Sale,Villa,Parklands,-1.233588281,36.79425247,12532945,USD,12532945,111742.661,206,128,542.4401017,60839.53883,3,5,8380,https://example.com/property/166
167,Rent,Villa,Embakasi,-1.320392279,36.59268639,12813081,USD,12813081,100472.2694,156,116,644.0530092,82135.13462,5,3,3228,https://example.com/property/167
168,Sale,Villa,Nairobi Central,-1.349353917,36.79988566,18598260,KES,18598260,169653.985,152,142,1116.144638,122356.9737,5,1,9804,https://example.com/property/168
169,Sale,Townhouse,Parklands,-1.458338602,36.93075685,17517702,USD,17517702,166686.1315,243,101,685.9511583,72089.30864,2,4,9888,https://example.com/property/169
170,Rent,Studio,Runda,-1.465278718,36.93431982,14970942,KES,14970942,102853.4682,68,57,1512.551003,220160.9118,2,1,7746,https://example.com/property/170
171,Rent,House,Lavington,-1.45370353,36.8621722,3573881,USD,3573881,25342.11304,117,52,216.5992567,30545.99145,4,4,7391,https://example.com/property/171
172,Sale,House,Kasarani,-1.448445456,36.87287669,17493529,USD,17493529,126763.0999,235,97,539.4174464,74440.54894,1,2,3406,https://example.com/property/172
173,Sale,Villa,Kasarani,-1.308636872,36.77896372,12407062,KES,12407062,121117.3952,119,43,1017.793237,104261.0252,4,3,9440,https://example.com/property/173
174,Rent,Villa,Westlands,-1.277705625,36.79233405,18079813,KES,18079813,127155.6771,162,146,784.9115868,111603.784,4,2,1637,https://example.com/property/174
175,Rent,Apartment,Nairobi Central,-1.341002543,36.56682529,17242373,USD,17242373,141444.3092,106,94,1334.380275,162663.8962,3,5,9090,https://example.com/property/175
